,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Smchd1,1.46E-20,0.30802936,0.932,0.326,4.54E-16
Macf1,1.68E-20,0.253824149,0.809,0.235,5.23E-16
Sbno1,1.96E-20,0.278278961,0.979,0.396,6.09E-16
Mat2a,2.25E-20,0.384696711,0.962,0.358,6.97E-16
Erlec1,2.33E-20,0.331821729,0.889,0.289,7.22E-16
Nipal2,3.48E-20,0.261701386,0.434,0.027,1.08E-15
Larp4b,3.71E-20,0.30680756,0.86,0.273,1.15E-15
Ccar1,4.15E-20,0.318446125,0.885,0.321,1.29E-15
Efr3a,4.27E-20,0.268755418,0.621,0.118,1.33E-15
Mtdh,4.68E-20,0.347023896,0.979,0.396,1.45E-15
Csnk1e,5.27E-20,0.36916763,0.57,0.102,1.64E-15
Ttc3,5.61E-20,0.297020704,0.987,0.449,1.74E-15
Acbd3,7.33E-20,0.272115408,0.826,0.251,2.28E-15
Plekha1,7.34E-20,0.265241123,0.511,0.064,2.28E-15
Nsfl1c,7.51E-20,0.258611879,0.86,0.235,2.33E-15
Cadm1,7.61E-20,0.250945032,0.63,0.118,2.36E-15
Gm4779,7.91E-20,0.357136941,0.872,0.283,2.46E-15
Eprs,9.79E-20,0.287743754,0.957,0.465,3.04E-15
Tex13b,1.05E-19,0.262074419,0.536,0.08,3.26E-15
Sirt3,1.22E-19,0.260301383,0.421,0.027,3.78E-15
Topaz1,1.22E-19,0.265474289,0.757,0.203,3.79E-15
Dusp7,1.30E-19,0.264195806,0.421,0.027,4.05E-15
D10Wsu102e,1.37E-19,0.699252496,0.834,0.294,4.26E-15
Ankrd26,1.41E-19,0.295152292,0.634,0.139,4.38E-15
Piwil2,1.69E-19,0.263399985,0.813,0.241,5.25E-15
Ofd1,1.89E-19,0.321771413,0.928,0.374,5.87E-15
Hacd2,1.93E-19,0.270194148,0.749,0.198,6.00E-15
Ccdc136,2.54E-19,0.25618175,0.821,0.225,7.90E-15
Stat3,4.06E-19,0.362834489,0.596,0.123,1.26E-14
AC160336.1,6.15E-19,0.677961846,0.936,0.406,1.91E-14
Wnk1,6.36E-19,0.321793817,0.97,0.406,1.98E-14
Smarcc1,7.76E-19,0.262580527,0.898,0.337,2.41E-14
Itpr1,1.50E-18,0.277452669,0.562,0.102,4.66E-14
Ubn1,1.51E-18,0.273892625,0.979,0.439,4.69E-14
Luc7l3,1.66E-18,0.254254004,0.983,0.471,5.15E-14
Csde1,2.00E-18,0.353418595,0.97,0.476,6.22E-14
Ktn1,2.02E-18,0.462352512,0.94,0.417,6.29E-14
Gm44601,3.69E-18,0.428888934,0.498,0.08,1.15E-13
Mov10l1,5.03E-18,0.251920608,0.979,0.455,1.56E-13
Fam228b,7.29E-18,0.263535023,0.451,0.053,2.26E-13
Tex19.1,1.20E-17,0.296073788,0.762,0.214,3.73E-13
Kit,1.51E-17,0.440186788,0.549,0.123,4.69E-13
Adss,1.67E-17,0.269274269,0.83,0.299,5.18E-13
Neb,1.69E-17,0.418173918,0.443,0.053,5.26E-13
Tspan3,2.28E-17,0.262279339,0.685,0.187,7.07E-13
Canx,2.48E-17,0.268572454,0.919,0.364,7.70E-13
4932435O22Rik,3.50E-17,0.284683395,0.383,0.027,1.09E-12
Olfr678,8.77E-17,0.409758077,0.311,0,2.72E-12
Lsm14b,1.05E-16,0.331436617,0.749,0.246,3.27E-12
Arl6ip1,1.15E-16,0.258613434,0.974,0.39,3.57E-12
Ttn,1.40E-16,0.597801199,0.345,0.016,4.36E-12
Trim71,1.80E-16,0.279085208,0.477,0.08,5.60E-12
G3bp2,2.24E-16,0.450954191,0.906,0.358,6.95E-12
Senp6,3.16E-16,0.255584822,0.936,0.439,9.80E-12
Parl,5.58E-16,0.315581496,0.809,0.289,1.73E-11
Tardbp,7.91E-16,0.25266413,0.809,0.267,2.46E-11
Rab14,1.40E-15,0.287730725,0.957,0.46,4.33E-11
Cdv3,1.46E-15,0.309933077,0.953,0.497,4.52E-11
Dlgap4,1.82E-15,0.263187531,0.655,0.193,5.66E-11
Id2,2.68E-15,0.3218432,0.779,0.278,8.31E-11
0610012G03Rik,2.83E-15,0.341728522,0.762,0.273,8.78E-11
Ppig,2.98E-15,0.313339635,0.983,0.535,9.24E-11
Ndufaf4,4.56E-15,0.256300474,0.689,0.209,1.42E-10
Pdzd2,5.08E-15,0.252219857,0.294,0.005,1.58E-10
Usp26,5.95E-15,0.286535783,0.545,0.134,1.85E-10
Gm47802,7.66E-15,0.293773404,0.277,0,2.38E-10
Ablim1,7.72E-15,0.260305353,0.694,0.235,2.40E-10
Hmgb3,3.10E-14,0.274542813,0.745,0.267,9.63E-10
Cspg5,3.46E-14,0.258254588,0.417,0.07,1.07E-09
Setd4,6.63E-14,0.305906987,0.447,0.091,2.06E-09
Cox8a,1.22E-13,0.254453101,0.872,0.348,3.79E-09
Aen,1.34E-13,0.31321913,0.86,0.358,4.15E-09
Smc4,1.37E-13,0.309244469,1,0.684,4.24E-09
Ppfibp2,2.48E-13,0.295101109,0.387,0.07,7.70E-09
Rock1,2.85E-13,0.265511672,0.949,0.497,8.85E-09
Lage3,2.95E-13,0.257663639,0.796,0.316,9.16E-09
H2afj,3.41E-13,0.280432005,0.877,0.353,1.06E-08
Rbm39,6.62E-13,0.338191903,0.996,0.572,2.05E-08
Maged1,9.21E-13,0.258698088,0.97,0.481,2.86E-08
Tmem108,1.11E-12,0.294318229,0.311,0.032,3.44E-08
Ptpn18,7.23E-12,0.339055029,0.374,0.075,2.24E-07
Smarca5,1.07E-11,0.301249511,1,0.701,3.31E-07
Odc1,1.07E-11,0.274853427,0.966,0.513,3.33E-07
Abi3bp,8.40E-11,0.304560789,0.277,0.032,2.61E-06
Cfl1,2.62E-10,0.344117057,0.97,0.519,8.12E-06
Snrpb,1.39E-09,0.266965287,0.923,0.492,4.30E-05
Gtsf1,5.14E-09,0.254820231,0.851,0.417,0.000159473
Zbed3,1.15E-08,0.300468815,0.349,0.102,0.000356634
Calm1,3.92E-08,0.267233783,0.987,0.668,0.001216836
Sfr1,2.71E-07,0.253934976,0.983,0.594,0.008403678
Gdpd1,1.49E-06,0.602372193,0.485,0.257,0.046329858
4930447C04Rik,2.80E-05,0.299145409,0.983,0.749,0.870312923
Ldhb,7.26E-05,0.343940628,0.502,0.273,1
Dppa3,0.078011441,0.435855653,0.374,0.31,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
