"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Zfp451",1.72532744009605e-07,-0.337690945200722,0.641,0.944,0.00535765929973027
"Sugp2",1.73837946173297e-07,-0.323880603703202,0.478,0.873,0.0053981897425194
"Cox5b",1.74580001021426e-07,0.290175706107706,0.989,0.986,0.00542123277171835
"Thoc2",1.7604866718573e-07,-0.403301717852593,0.935,1,0.00546683926211848
"Aspm",1.76618006187198e-07,-0.352130769180572,0.293,0.775,0.00548451894613106
"Gm47283",1.79280272477732e-07,0.592070240495598,0.75,0.577,0.00556719030125101
"Ccnb2",1.82036651904865e-07,0.472701502330261,0.859,0.859,0.00565278415160177
"Wnk3",1.84227916089183e-07,-0.267036769052068,0.283,0.746,0.00572082947831741
"Kif20b",1.85829863487876e-07,-0.340320118051084,0.62,0.93,0.00577057475088902
"Maged2",1.9622136603496e-07,0.412659498260654,0.598,0.282,0.0060932620794836
"Ywhae",1.99878259623223e-07,0.35605223683712,0.989,0.986,0.00620681959607995
"Rtn3",2.00473348196958e-07,-0.374015032335659,0.62,0.901,0.00622529888156013
"Afdn",2.00962871197293e-07,-0.350305569955911,0.652,0.958,0.00624050003928954
"Carf",2.03395641544523e-07,-0.26658366782115,0.304,0.789,0.00631604485688208
"Stag1",2.08362970998439e-07,-0.36164586287333,0.652,0.958,0.00647029533841453
"Srgap2",2.1110800727774e-07,-0.295367353078823,0.283,0.761,0.00655553694999566
"Dgkh",2.1940649060825e-07,0.388104829986726,0.63,0.31,0.006813229752858
"Mycbp",2.20301048506053e-07,0.386013687835526,0.967,0.93,0.00684100845925847
"Zfp62",2.22112187117732e-07,-0.298544094618939,0.348,0.817,0.00689724974656692
"Zfyve27",2.26108112924948e-07,-0.261269451826068,0.348,0.831,0.00702133523065842
"Rpa3",2.33137427687894e-07,0.386488536859531,0.674,0.437,0.00723961654199217
"Ppp3cb",2.40902753228327e-07,-0.306306771546956,0.554,0.915,0.00748075319599922
"Lig1",2.41183208697455e-07,-0.365361429840249,0.815,0.986,0.00748946217968206
"Polr2a",2.42949586660426e-07,-0.355034137763489,0.913,0.986,0.00754431351456622
"Stk38",2.43702120696561e-07,-0.292002196753233,0.348,0.831,0.00756768195399031
"Saysd1",2.49302022398415e-07,-0.296447148457943,0.337,0.789,0.00774157570153798
"Ahi1",2.53289146404136e-07,-0.312544639994502,0.337,0.831,0.00786538786328764
"Pafah1b3",2.57429197317978e-07,0.490983409645579,0.652,0.394,0.00799394886431518
"Ywhaq",2.61126924955685e-07,0.406400077135392,0.978,0.915,0.00810877440064888
"Ran",2.7098880512501e-07,0.343796270182733,0.978,0.972,0.00841501536554694
"Lamp1",2.73284306790432e-07,-0.322218139185605,0.946,0.986,0.00848629757876327
"Atp6v0e",2.774593836243e-07,0.453985886971303,0.761,0.592,0.00861594623968539
"Nek1",2.84287774547328e-07,-0.375805020544178,0.739,0.93,0.00882798826301816
"Ssh2",2.85978804835308e-07,-0.300670077184051,0.315,0.761,0.00888049982655082
"Zwilch",2.86337217058215e-07,-0.31838648780828,0.424,0.859,0.00889162960130875
"Sssca1",2.89035200760091e-07,0.448761720705037,0.62,0.338,0.00897541008920311
"Gtf2f1",2.92272972986117e-07,-0.408406709430968,0.75,0.972,0.00907595263013788
"Ikbkap",2.92639257105401e-07,-0.251527276936557,0.261,0.775,0.00908732685089401
"Speer4a",2.93339350237094e-07,0.400069626820478,0.5,0.155,0.00910906684291248
"Snrpc",2.99016917728343e-07,0.401784279467959,0.826,0.845,0.00928537234621825
"Smc6",3.01250343552791e-07,-0.309658262223029,0.924,1,0.00935472691834482
"Tlk2",3.0552654746311e-07,-0.32069739075497,0.728,0.915,0.00948751587837195
"Mycbp2",3.12345453119096e-07,-0.351080433210202,0.946,1,0.00969926335570728
"Tceal8",3.12890806632068e-07,0.27768714153168,0.38,0.042,0.00971619821834562
"Errfi1",3.14833435408143e-07,-0.320253584011864,0.457,0.845,0.00977652266972906
"Ddhd2",3.16347620095853e-07,-0.333583852830337,0.707,0.972,0.00982354264683654
"Arhgdig",3.1827399832991e-07,0.300781707376903,0.457,0.127,0.00988336247013869
"Pnpla8",3.25218826702592e-07,-0.279176400760666,0.37,0.803,0.0100990202255956
"Fam229b",3.36355845509446e-07,0.4784588600209,0.772,0.606,0.0104448580706048
"Atl3",3.40257043561979e-07,-0.288362524260859,0.207,0.648,0.0105660019737301
"Hbb-bs",3.53667307518073e-07,-0.706562705596853,1,0.986,0.0109824309003587
"Hnrnpm",3.54568372870917e-07,-0.428315165039637,0.739,0.944,0.0110104116827606
"Phtf1",3.60750300441505e-07,-0.318909551606639,0.5,0.915,0.0112023790796101
"E2f5",3.64158716544198e-07,-0.304656469808207,0.489,0.915,0.011308220624847
"Ppp1r12b",3.67432660141591e-07,-0.322149992203029,0.283,0.761,0.0114098863953768
"Agps",3.67453098114506e-07,-0.276517851824326,0.348,0.817,0.0114105210557498
"Morf4l1",3.72889323331359e-07,0.334286585190853,0.989,1,0.0115793321574087
"Exo1",3.75951020322998e-07,-0.264580493450463,0.207,0.648,0.0116744070340901
"Gm10069",3.85233818000126e-07,0.266520914928758,0.457,0.113,0.0119626657503579
"Ergic3",3.96746738137637e-07,0.360432491804021,0.913,0.915,0.012320176459388
"Ap2s1",3.99435966877563e-07,0.406922666332609,0.772,0.718,0.012403685079449
"Ooep",4.00444521261217e-07,0.298726919188912,0.348,0.028,0.0124350037187246
"Gm47802",4.03649667048329e-07,0.425730109838182,0.522,0.183,0.0125345331108518
"Stx17",4.14925993732147e-07,-0.284890523082114,0.533,0.93,0.0128846968833644
"Dnajc10",4.18262072653929e-07,-0.393767026307183,0.533,0.901,0.0129882921421225
"Tex264",4.18912731662178e-07,0.416689271105864,0.783,0.732,0.0130084970563056
"Trappc11",4.20212627245327e-07,-0.313699279171977,0.424,0.831,0.0130488627138491
"Ube2b",4.20464914577205e-07,0.388529387512245,0.913,0.972,0.0130566969923659
"Dnttip2",4.20812881502285e-07,-0.307101707101223,0.935,0.958,0.0130675024092904
"Fam114a2",4.2713501675786e-07,-0.354766955668598,0.685,0.944,0.0132638236753818
"Dusp11",4.28884004449243e-07,-0.323670679687457,0.38,0.817,0.0133181349901623
"Ahcyl1",4.35519447687397e-07,-0.357850445668217,0.533,0.859,0.0135241854090367
"Zfp638",4.37974276925075e-07,-0.346227739555272,0.663,0.915,0.0136004152213543
"Sfmbt1",4.43794571279703e-07,-0.331147937608021,0.457,0.859,0.0137811528219486
"Mnd1",4.44649867805151e-07,0.514669794235794,0.641,0.394,0.0138077123449533
"Zswim9",4.4883420249406e-07,-0.250649418013205,0.239,0.704,0.0139376484900481
"Smc5",4.49367448180054e-07,-0.405914590399397,0.511,0.845,0.0139542073683352
"Nckap1",4.50348065976045e-07,-0.298257275453575,0.38,0.845,0.0139846584927541
