"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Utf1",2.18738098599805e-11,-1.1145986827671,0.025,0.461,6.79247417581975e-07
"Syce3",2.3083648579619e-11,1.41132207645167,0.568,0.23,7.1681653934291e-07
"Rps27",2.96033102858357e-11,-0.482732233165407,0.877,0.993,9.19271594306057e-07
"Ccnb3",3.74732945647129e-11,1.3957392230446,0.284,0.007,1.16365821611803e-06
"Edf1",3.92101822293916e-11,-0.964025664838965,0.123,0.579,1.2175937887693e-06
"Hbb-y",5.53029159895716e-11,-1.55670362159397,0.037,0.461,1.71732145022417e-06
"mt-Nd6",5.76828178776199e-11,1.43237624709068,0.383,0.059,1.79122454355373e-06
"Stra8",7.01767548564123e-11,-1.18070587334492,0.16,0.638,2.17919876855617e-06
"Atpif1",7.52813985464095e-11,-0.923280385727511,0.272,0.73,2.33771326906165e-06
"Ndufa13",8.30443412623881e-11,-0.906522212686221,0.358,0.77,2.57877592922094e-06
"Pkm",9.05797058823932e-11,-0.962936660815581,0.123,0.592,2.81277160676596e-06
"Cep290",1.04701781883442e-10,1.29651690746994,0.346,0.039,3.25130443282651e-06
"Pim1",1.10761152838322e-10,-1.16416129251774,0,0.395,3.43946607908842e-06
"mt-Nd4",1.28832500909801e-10,0.926112754593138,0.84,0.704,4.00063565075205e-06
"Ndufa1",1.36988597014176e-10,0.988533222302217,0.753,0.592,4.25390690308121e-06
"Rpl14",1.4413889046143e-10,-0.386238631748419,0.951,1,4.47594496549878e-06
"Anp32b",1.63313193664152e-10,-0.876726721767217,0.42,0.816,5.07136460285292e-06
"Hfm1",1.92643160827426e-10,1.34676701709291,0.383,0.066,5.98214807317406e-06
"Dctpp1",2.02214196639124e-10,-0.922366012919332,0.272,0.711,6.27935744823472e-06
"Snrpg",2.15107881687405e-10,-0.762341815801313,0.432,0.842,6.67974505003899e-06
"Cyc1",2.21032349947292e-10,-0.882070934080467,0.148,0.612,6.86371756291326e-06
"Ndufv3",2.21611226919187e-10,-0.982003080583468,0.123,0.553,6.88169342952152e-06
"Rps18",3.45630279621086e-10,-0.401919406252585,0.926,1,1.07328570730736e-05
"Dusp9",5.64300286054713e-10,-1.02271045229161,0.025,0.414,1.7523216782857e-05
"Atr",6.12493995387267e-10,1.54105452063197,0.494,0.164,1.90197760387608e-05
"Hnrnpa1",6.56699509261025e-10,-0.920772579613012,0.235,0.658,2.03924898610826e-05
"Selenow",6.79483796007618e-10,-0.803198381833617,0.074,0.507,2.11000103174246e-05
"Usmg5",8.68503558458799e-10,-0.857622553365694,0.272,0.678,2.69696410008211e-05
"Hmgn2",9.29126829720019e-10,-0.85421492766575,0.198,0.612,2.88521754432957e-05
"Ckb",1.0245405752982e-09,-1.19586326992311,0,0.362,3.18150584847349e-05
"Uqcrb",1.07518269283317e-09,-0.784807559602976,0.37,0.796,3.33876481605483e-05
"Mrpl23",1.32385873392863e-09,-0.859311940692,0.21,0.638,4.11097852646856e-05
"Ptma",1.3939751102176e-09,-0.543170735060766,0.753,0.98,4.32871090975871e-05
"Erh",1.45926896360877e-09,-0.870652610119536,0.049,0.434,4.53146791269433e-05
"Cul3",1.58731346457867e-09,1.60522424123935,0.506,0.197,4.92908450155615e-05
"Hsp90ab1",1.58944914208618e-09,-0.500627062896377,0.901,1,4.93571642092022e-05
"Fkbp4",1.64116973335059e-09,-0.888778636987035,0.136,0.566,5.0963243729736e-05
"Eif4a1",1.69470487606907e-09,-0.802587370868741,0.383,0.783,5.26256705165728e-05
"Rps12",1.89633489906254e-09,0.623717346691877,0.963,0.967,5.88868876205891e-05
"Hmgb3",1.99151606437233e-09,-0.798421718146265,0.099,0.513,6.18425483469538e-05
"Cks2",2.45203122782008e-09,-0.978240696657869,0.259,0.658,7.61429257174968e-05
"Gapdh",2.98450291271551e-09,-0.870453869691151,0.185,0.625,9.26777689485549e-05
"Eef1g",3.12850604049692e-09,-0.632954485933858,0.605,0.934,9.71494980755507e-05
"C1qbp",3.32154501184554e-09,-1.00719714593812,0.074,0.474,0.000103143937252839
"Lars2",3.7207204130214e-09,1.24228561722053,0.346,0.059,0.000115539530985554
"Eif5a",3.99590116174892e-09,-0.678737017750849,0.383,0.809,0.000124084718775789
"Nt5dc2",4.01219001174356e-09,-0.802789820445165,0.012,0.362,0.000124590536434673
"Cenpa",4.1111875945395e-09,-0.855397131657622,0.049,0.428,0.000127664708373235
"Cct4",4.31203696307472e-09,-0.735926353945143,0.358,0.763,0.000133901683814359
"Hspa8",4.56150748322261e-09,-0.480010336870856,0.753,0.961,0.000141648491876512
"Stmn1",5.31032759280847e-09,-0.767756072516692,0.309,0.73,0.000164901602739482
"Rpa2",5.31706999116295e-09,-0.861346557498795,0.086,0.48,0.000165110974435583
"Dtymk",5.60385719406456e-09,-0.738770775648403,0.123,0.539,0.000174016577447287
