"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Prdx1",3.44240255534163e-09,0.715978382253984,0.958,0.593,0.000106896926551024
"Gm1673",3.49164772365288e-09,0.675104826556618,0.875,0.333,0.000108426136762593
"Gm11985",3.63297892996022e-09,0.828437325460045,0.486,0.049,0.000112814894712055
"Id3",3.791028939753e-09,0.807737767338769,0.722,0.198,0.00011772282166615
"Lsm7",5.06023074831335e-09,0.561627944986509,0.833,0.259,0.000157135345427374
"Mrpl52",5.18631046538544e-09,0.713756505983707,0.903,0.358,0.000161050498881614
"Spata33",5.23747746138985e-09,0.57278592984646,0.486,0.062,0.000162639387608539
"Nme1",5.24000246456081e-09,0.470125965023495,0.778,0.222,0.000162717796532007
"Rpl39",5.35447136525988e-09,0.517663794868377,0.986,0.951,0.000166272399305415
"Cox17",5.87810118995531e-09,0.603848057771689,0.861,0.272,0.000182532676251682
"Sumo3",6.10036917417582e-09,0.756686507162277,0.472,0.049,0.000189434763965682
"Cyc1",7.10098330857364e-09,0.538661600055653,0.667,0.148,0.000220506834681137
"Bola2",7.18301877319166e-09,0.603507294000947,0.847,0.296,0.000223054281963921
"Rps27rt",7.26513725846949e-09,0.510356701488348,0.653,0.173,0.000225604307287253
"Ddx39b",9.11827573958381e-09,0.323127715060379,0.681,0.173,0.000283149816541296
"Ckb",9.14594286122853e-09,1.06548314097985,0.347,0,0.000284008963669729
"B9d1",1.10453490417272e-08,0.685777751971822,0.389,0.025,0.000342991223792756
"Syce3",1.14310273952899e-08,0.719251539419471,0.972,0.568,0.000354967693705938
"Atp6v0b",1.4609593080158e-08,0.567105716687372,0.736,0.235,0.000453671693918146
"Cfl1",1.79381616652844e-08,0.807777957221742,0.681,0.222,0.000557033734192075
"Ssbp1",1.92899776854068e-08,0.642065101657457,0.625,0.16,0.000599011677064938
"Impdh2",1.93201126554915e-08,0.527567349636907,0.528,0.086,0.000599947458290978
"Naa38",2.08645327445713e-08,0.698365384398664,0.667,0.173,0.000647906335317172
"1700018B24Rik",2.19004108551563e-08,0.468242692084885,0.722,0.222,0.000680073458285168
"Rps7",2.21304491589513e-08,0.415128802480468,1,0.951,0.000687216837732916
"Map1lc3a",2.30460224800118e-08,0.481621856545581,0.472,0.062,0.000715648136071805
"Pkm",2.34163272071167e-08,0.641429461577169,0.583,0.123,0.000727147208762594
"Gm2000",2.66429027051068e-08,0.617804609335562,0.556,0.123,0.000827342057701682
"Rpl21",2.81646687384367e-08,0.372141743684335,1,0.938,0.000874597458334674
"Crlf1",2.88977139379415e-08,0.90324215759141,0.361,0.012,0.000897360710914898
"Dctn3",3.16262074100053e-08,0.661986841607458,0.611,0.148,0.000982088618702895
"Eef1b2",3.16405763290941e-08,-0.87618418239923,0.875,0.852,0.000982534816747359
"Fam229b",3.19098779837229e-08,0.675028536769252,0.444,0.062,0.000990897441028548
"Ctsd",3.33389367382685e-08,0.676607771591479,0.556,0.136,0.00103527400253345
"Hcfc1r1",3.61063765363593e-08,0.571773467620077,0.528,0.099,0.00112121131058357
"Bsg",3.61417932346759e-08,0.727279054712581,0.681,0.21,0.00112231110531639
"Ndufa4",3.87146715137516e-08,0.673991657224008,0.958,0.481,0.00120220669451653
"Tpt1",4.40276632875545e-08,-0.629872055893771,1,0.938,0.00136719102806843
"Ppih",4.52419441785209e-08,0.44120196965532,0.514,0.086,0.00140489809257561
"D8Ertd738e",4.58489721936725e-08,0.513471765255195,0.806,0.284,0.00142374813353011
"Ninj1",4.60337052918397e-08,0.546794556618543,0.389,0.025,0.0014294846504275
"Tex264",4.77906623326269e-08,0.587783126332683,0.528,0.099,0.00148404343741506
"Fam216a",4.86595356886409e-08,0.514778924954294,0.528,0.111,0.00151102456173937
"Cox7a2",5.08055165520071e-08,0.579638149121362,0.986,0.556,0.00157766370548948
"Ugp2",5.35219720057648e-08,0.359149485737629,0.417,0.037,0.00166201779669501
"Ube2w",5.38511559330661e-08,0.809366864047442,0.458,0.062,0.0016722399451895
"Pno1",5.55739907059899e-08,0.594166234179995,0.486,0.086,0.0017257391333931
"Rpl36al",5.65785592590884e-08,0.657656333994693,0.875,0.358,0.00175693400067247
"Atp5j2",5.85197199753408e-08,0.569856153853106,0.986,0.63,0.00181721286439426
"Tomm22",6.00330379513913e-08,0.42330163745602,0.653,0.198,0.00186420592750455
"Pin1",6.01246514437513e-08,0.425923056293075,0.542,0.111,0.00186705080128281
"Eif3e",6.42713763651716e-08,0.593296067180907,0.958,0.457,0.00199581905026767
"Atp6v1f",6.43103907770036e-08,0.374097966467976,0.764,0.235,0.00199703056479829
"Fkbp6",7.44304100982072e-08,0.613821511877374,0.847,0.346,0.00231128752477963
"Hmgn2",7.54221522671479e-08,0.663387903714957,0.653,0.198,0.00234208409435174
"Bud31",7.79235760797255e-08,0.674054597585748,0.625,0.173,0.00241976080800372
"Ap2s1",8.01751705398656e-08,0.488635257971966,0.542,0.123,0.00248967957077445
"Mrpl12",8.46413299155043e-08,0.538907628295255,0.514,0.099,0.00262836721786615
"Kpna2",9.36705646702378e-08,0.695338250579808,0.389,0.037,0.00290875204470489
"Edf1",9.51032615218087e-08,0.59530194146013,0.542,0.123,0.00295324158003673
"Uqcr11",9.80033983960653e-08,0.606079261076952,0.903,0.37,0.00304329953039302
"Eif4a1",1.02892838011761e-07,0.539598807434095,0.875,0.383,0.00319513129877922
"Pet100",1.03499871461147e-07,0.597002129236264,0.611,0.148,0.003213981508483
"Pfdn1",1.04872313850267e-07,0.582492552364811,0.944,0.506,0.00325659996199233
"Pop5",1.06085088401485e-07,0.369741954790822,0.556,0.111,0.0032942602501313
"Commd3",1.10420701756737e-07,0.408207411819732,0.597,0.148,0.00342889405165195
"Cox7c",1.11944722763835e-07,0.394964413801064,1,0.889,0.00347621947598536
"Dram2",1.12162379972375e-07,0.572889354038357,0.333,0.012,0.00348297838528216
"Gm4779",1.16676877491938e-07,0.636974668052712,0.458,0.074,0.00362316707675715
"Pcgf5",1.19210703241056e-07,0.556365531484122,0.556,0.123,0.00370184996774452
"Ndufs6",1.37459379763447e-07,0.479614123974127,0.903,0.407,0.00426852611979433
"Polr2g",1.39543340383358e-07,0.588715211666728,0.556,0.136,0.00433323934892442
"Ube2g1",1.39543340383358e-07,0.563410422552321,0.556,0.136,0.00433323934892442
"Arf5",1.47955252915475e-07,0.377473039825767,0.625,0.173,0.00459445446878423
"Timm13",1.49351284327849e-07,0.574802103141358,0.708,0.235,0.00463780543223268
"Ubl5",1.52808633949121e-07,0.579023111988911,0.833,0.358,0.00474516651002204
"Dph3",1.57602006336893e-07,0.393802180687236,0.514,0.099,0.00489401510277954
"Sec61g",1.61171609365074e-07,0.610348438254223,0.889,0.432,0.00500486198561365
"Polr2i",1.75390754487157e-07,0.421950704002997,0.722,0.21,0.00544640909908969
"Use1",1.88055109030656e-07,0.460889458645608,0.597,0.148,0.00583967530072896
"Polr2l",2.00554119493346e-07,0.674697304283287,0.431,0.062,0.00622780707262687
"Hdac2",2.01787607040233e-07,0.541698360092303,0.708,0.222,0.00626611056142036
"Mbd3",2.02820071067363e-07,0.546304356760626,0.486,0.099,0.00629817166685483
"Tomm7",2.02852079219822e-07,0.566180872914082,0.903,0.531,0.00629916561601312
"Gm49368",2.05927159784553e-07,0.502638689889373,0.292,0,0.00639465609278971
"Supt4a",2.11182141609665e-07,0.50271716193024,0.639,0.198,0.00655783904340492
"U2af1",2.14523124456125e-07,0.465634597434067,0.708,0.21,0.00666158658373605
"Dlk1",2.18383430138216e-07,0.685537875088211,0.319,0.012,0.00678146065608201
"Ube2b",2.33824842099719e-07,0.344130372696229,0.75,0.247,0.00726096282172258
"Uqcrb",2.35668990051959e-07,0.496231592031166,0.903,0.37,0.00731822914808349
"Rpl14",2.38146375086238e-07,0.364786566406941,1,0.951,0.00739515938555294
"Psmb2",2.39281937825166e-07,0.273349019056028,0.903,0.346,0.00743042201528487
"Psmg4",2.40794212412952e-07,0.461639092408202,0.819,0.284,0.0074773826780594
"Mrpl24",2.48575212257911e-07,0.553873294144748,0.542,0.136,0.00771900606624492
"Lsm2",2.48576382872875e-07,0.568683730253865,0.833,0.333,0.0077190424173514
"Gc",2.54762665627627e-07,0.545215796844262,0.694,0.222,0.0079111450557347
"Pfdn2",2.78742561418348e-07,0.505488325477273,0.847,0.358,0.00865579275972394
"Rack1",2.79416980558622e-07,-0.82728717716445,0.903,0.827,0.00867673549728689
"Jpt1",2.80309587754125e-07,0.656972644798347,0.611,0.185,0.00870445362852886
"Zfp560",2.84015337355223e-07,0.456245371573144,0.375,0.037,0.00881952827089173
"Carnmt1",2.85665855358582e-07,0.307398593323106,0.639,0.173,0.00887078180645004
"0610010K14Rik",2.90213738389073e-07,0.624481881304427,0.444,0.074,0.00901200721819589
"Txndc17",2.96489302107526e-07,0.352199577337882,0.708,0.222,0.00920688229834502
"Pdcl2",2.97193230523041e-07,0.552441010198176,0.319,0.012,0.00922874138743198
"Eef1a1",3.00758893501306e-07,-0.499452087804071,1,0.938,0.00933946591989605
"Rplp0",3.10982957942821e-07,0.449953567389194,0.986,0.815,0.00965695379299842
"Mdh2",3.16509350093295e-07,0.523074187816978,0.556,0.136,0.00982856484844708
"H2afx",3.26870853535766e-07,0.472424419775093,0.514,0.099,0.0101503206148462
"Gm773",3.33533461268946e-07,0.58539542259341,0.333,0.025,0.0103572145727846
"Arpc3",3.56844571071764e-07,0.433257135547418,0.611,0.16,0.0110810944654915
"Psmc1",3.72917095257718e-07,0.583004087334672,0.5,0.111,0.0115801945590379
"Prmt1",3.86280348537196e-07,0.288147084364081,0.472,0.086,0.0119951636631256
"Timm10",3.87240214172606e-07,0.444631342555675,0.361,0.037,0.0120249703707019
"Eif3g",3.96802952431279e-07,0.554245669924132,0.861,0.37,0.0123219220818485
"Dctpp1",4.13619044879465e-07,0.528178064154413,0.736,0.272,0.012844112200642
"Prdx4",4.16020896409816e-07,0.53037614136227,0.875,0.333,0.012918696896214
"Commd4",4.17025640413753e-07,0.598274989813325,0.431,0.074,0.0129498972117683
"Adrm1",4.18594251674363e-07,0.459085158630513,0.417,0.062,0.012998607297244
"Pebp1",4.23728843677528e-07,0.277343017773413,0.722,0.222,0.0131580517827183
